Name,Time


17121A1504,15:05:49
17121A1553,15:05:50
17121A1526,15:06:12
17121A1527,15:06:21
17121A1524,15:06:24
17121A1532,15:06:31
17121A1516,15:06:31
17121A1536,15:07:00
17121A1552,15:07:12
17121A1544,15:07:12
17121A1550,15:07:23
17121A1560,15:07:25
